doc_id,entity,is_correct,raw_confidence,confidence_bucket
doc_0000,date,1,0.7173205700002869,HIGH
doc_0001,date,1,0.3546909772467817,LOW
doc_0002,date,1,0.40505866416149894,MEDIUM
doc_0003,date,1,0.8840602225426014,LOW
doc_0004,date,0,0.6941788887787333,MEDIUM
doc_0005,date,0,0.30597808355080924,LOW
doc_0006,date,0,0.36595650286292086,MEDIUM
doc_0007,date,1,0.7312761499202362,HIGH
doc_0008,date,1,0.30329002950004214,LOW
doc_0009,date,1,0.4045252334213741,HIGH
doc_0010,date,0,0.6566769630882809,MEDIUM
doc_0011,date,1,0.7497318785002506,LOW
doc_0012,date,1,0.7237748186766902,LOW
doc_0013,date,1,0.44577505114936383,MEDIUM
doc_0014,date,0,0.7629164938758982,MEDIUM
doc_0015,date,0,0.45421190687292,MEDIUM
doc_0016,date,1,0.511509803803524,HIGH
doc_0017,date,1,0.7852194133267156,MEDIUM
doc_0018,date,1,0.7222613843806894,MEDIUM
doc_0019,date,1,0.8519952168212156,MEDIUM
doc_0020,date,1,0.7274483799952232,MEDIUM
doc_0021,date,0,0.6694005921680565,MEDIUM
doc_0022,date,1,0.3608885990882601,HIGH
doc_0023,date,1,0.5390152719886318,MEDIUM
doc_0024,date,1,0.4723815389931215,HIGH
doc_0025,date,1,0.4585932681964043,MEDIUM
doc_0026,date,0,0.9324568605890895,MEDIUM
doc_0027,date,1,0.5555135210333942,LOW
doc_0028,date,1,0.8798302608651235,MEDIUM
doc_0029,date,0,0.7102401068982208,HIGH
doc_0030,date,1,0.8166273473020714,HIGH
doc_0031,date,0,0.6267141105183748,MEDIUM
doc_0032,date,0,0.6749875250071333,MEDIUM
doc_0033,date,1,0.6201365009822615,HIGH
doc_0034,date,1,0.4269079420687289,HIGH
doc_0035,date,1,0.7695938749199784,MEDIUM
doc_0036,date,1,0.48250203558655624,HIGH
doc_0037,date,0,0.31580537818044496,LOW
doc_0038,date,1,0.719556992339659,MEDIUM
doc_0039,date,1,0.41512194161458177,HIGH
doc_0040,date,0,0.9112980798293941,HIGH
doc_0041,date,1,0.9200535750516817,LOW
doc_0042,date,0,0.8946618536432914,MEDIUM
doc_0043,date,1,0.5406031551660389,MEDIUM
doc_0044,date,1,0.31004680074376384,LOW
doc_0045,date,1,0.9034070656820214,LOW
doc_0046,date,1,0.5783196964062542,LOW
doc_0047,date,1,0.9283256323783852,MEDIUM
doc_0048,date,1,0.9263529851080142,MEDIUM
doc_0049,date,0,0.854456146053784,HIGH
doc_0050,date,1,0.49139177984523064,MEDIUM
doc_0051,date,1,0.5503135235912514,MEDIUM
doc_0052,date,1,0.8532388364859569,MEDIUM
doc_0053,date,1,0.5059993033515804,LOW
doc_0054,date,1,0.4101702853459601,HIGH
doc_0055,date,1,0.6619208205979276,MEDIUM
doc_0056,date,0,0.9085006032045075,HIGH
doc_0057,date,0,0.7524193678387324,MEDIUM
doc_0058,date,0,0.6705397605580872,HIGH
doc_0059,date,1,0.36316472095099955,HIGH
doc_0060,date,1,0.6997546973544603,HIGH
doc_0061,date,1,0.943535002567771,MEDIUM
